SCORE,VALUE,AVG PROBLEMS,,,
10,0x86,589.221519,,,
19,0x6e,590.261745,,,
24,0x8a,592.6458333,,,
16,0xa,594.4605263,,,
22,0xc6,594.4657534,,,
18,0x2e,594.82,,,
15,0xe,595.3398693,,,
21,0x16,595.6054422,,,
19,0xa2,595.9328859,,,
22,0x22,596.3630137,,,
22,0x46,596.4589041,,,
20,0xb2,596.8310811,,,
15,0xaa,597.6143791,,,
23,0xfe,598.5241379,,,
21,0xee,598.5986395,,,
21,0x3a,599.0544218,,,
12,0x26,599.3910256,,,
18,0x72,600.36,,,
19,0xf2,600.4832215,,,
18,0xea,602.5333333,,,
20,0xa6,603.0405405,,,
17,0x6,603.1854305,,,
20,0x2a,603.3243243,,,
16,0xf6,603.7236842,,,
19,0x32,604.2214765,,,
22,0x6a,605.1917808,,,
19,0x7a,605.7651007,,,
20,0x96,606.6013514,,,
21,0xae,607.4693878,,,
16,0x1a,607.5657895,,,
17,0x76,607.9072848,,,
22,0x1e,608.0684932,,,
10,0x9b,608.4240506,,,
19,0x62,609.1073826,,,
21,0x42,610.3197279,,,
16,0x5a,610.5986842,,,
16,0xde,610.7302632,,,
19,0x4e,611.1543624,,,
21,0xba,611.3673469,,,
22,0x7e,611.4726027,,,
22,0xda,612.7876712,,,
19,0xca,613.5167785,,,
14,0x12,613.5584416,,,
20,0x8e,614.0202703,,,
18,0xd6,614.3133333,,,
17,0x7f,614.5562914,,,
17,0xb6,614.794702,,,
19,0x56,614.8187919,,,
21,0xce,615.2244898,,,
24,0xe2,615.3541667,,,
24,0x5e,615.8611111,,,
18,0x66,616.22,,,
17,0xbe,616.384106,,,
22,0x36,616.5547945,,,
28,0x9a,616.5857143,,,
28,0x4a,616.7642857,,,
19,0x3e,617.3892617,,,
18,0x92,618.2,,,
10,0x8f,619.3544304,,,
20,0xe6,619.7837838,,,
27,0xc2,620.8156028,,,
15,0xfa,621.2941176,,,
8,0xe3,622.36875,,,
15,0x1b,622.9869281,,,
25,0x82,623.2727273,,,
8,0xfb,623.74375,,,
21,0x9e,625.7142857,,,
11,0xf,626.0955414,,,
8,0x5d,626.3375,,,
11,0xfd,626.9426752,,,
10,0xaf,626.9873418,,,
8,0xd,627.2125,,,
10,0x77,627.2848101,,,
16,0x3f,627.7631579,,,
6,0x15,628.3641975,,,
13,0x97,628.8322581,,,
13,0x2f,629.3096774,,,
9,0x7b,629.3144654,,,
5,0xcd,629.6625767,,,
10,0x1f,630.0063291,,,
3,0x61,630.0181818,,,
13,0x5b,630.8064516,,,
6,0xf5,630.9320988,,,
18,0xd2,631.6466667,,,
10,0xdb,631.7911392,,,
5,0xb,632.3128834,,,
9,0x63,632.6289308,,,
6,0xbd,632.6790123,,,
8,0x5f,632.74375,,,
12,0xd3,633.4871795,,,
10,0x29,633.5759494,,,
8,0xb5,634.125,,,
11,0x13,634.5859873,,,
10,0x9f,634.6012658,,,
16,0xa3,634.6578947,,,
14,0x6f,634.7402597,,,
9,0x75,634.8993711,,,
9,0x71,635.3144654,,,
6,0xbb,635.691358,,,
9,0x11,635.8867925,,,
13,0x17,636,,,
14,0xcf,636.2467532,,,
8,0x79,636.2625,,,
9,0x8d,636.3710692,,,
15,0x23,636.4444444,,,
6,0x4b,636.7901235,,,
12,0xdd,636.9038462,,,
9,0x33,636.9685535,,,
18,0x47,636.9866667,,,
12,0x93,637.2692308,,,
17,0x57,637.2847682,,,
11,0xdf,637.3821656,,,
27,0x2,637.5035461,,,
8,0x8b,637.6375,,,
0,0x52,637.7857143,,,
10,0x21,637.9303797,,,
17,0xbf,638.0728477,,,
14,0xef,638.0844156,,,
11,0xc3,638.2675159,,,
10,0xed,638.7468354,,,
17,0xe7,639.1655629,,,
9,0xcb,639.3647799,,,
6,0xe1,639.4938272,,,
17,0xd7,639.589404,,,
10,0xe9,639.6139241,,,
9,0xb3,639.7735849,,,
13,0xf7,639.9483871,,,
7,0xf9,639.9565217,,,
10,0x6d,640.0506329,,,
9,0xad,640.2327044,,,
10,0x95,640.4240506,,,
5,0x45,640.6380368,,,
11,0xd5,640.8280255,,,
11,0x49,640.9044586,,,
12,0x4f,640.9358974,,,
10,0x3b,640.9493671,,,
8,0x89,641.21875,,,
13,0xa9,641.2709677,,,
13,0x73,641.3032258,,,
12,0xc9,641.5576923,,,
9,0xb1,641.5660377,,,
13,0x69,641.6774194,,,
6,0x35,642.0308642,,,
6,0x99,642.1296296,,,
9,0x2b,642.3081761,,,
7,0x9d,642.6521739,,,
11,0x53,642.8025478,,,
7,0xd9,643.0931677,,,
14,0xa1,643.3506494,,,
15,0x37,643.5686275,,,
8,0x1d,643.65625,,,
11,0x27,643.6942675,,,
12,0x55,643.7692308,,,
16,0x91,644.3355263,,,
6,0xf1,644.8888889,,,
12,0xa7,645.0320513,,,
8,0x41,645.04375,,,
18,0x87,645.06,,,
14,0x51,645.2402597,,,
8,0xd1,645.48125,,,
9,0xeb,645.7987421,,,
9,0xc1,645.8050314,,,
10,0x65,645.9810127,,,
10,0x31,646.0126582,,,
12,0x4d,646.3461538,,,
20,0x67,646.5135135,,,
10,0xab,647.1329114,,,
6,0xc5,647.8209877,,,
10,0x59,648.0063291,,,
8,0xe5,648.0125,,,
15,0xb7,648.2679739,,,
8,0x7d,648.76875,,,
18,0xf3,648.7866667,,,
5,0xb9,648.8466258,,,
24,0x1,649.2152778,,,
7,0x19,649.2919255,,,
10,0x43,649.7594937,,,
12,0x81,650.2115385,,,
7,0xa5,650.2298137,,,
7,0x3d,651.1863354,,,
17,0xc7,651.9470199,,,
1,0x9,652.760479,,,
11,0x2d,653.1719745,,,
18,0x80,653.3066667,,,
13,0x6b,654.6516129,,,
11,0x10,654.8089172,,,
11,0x83,655.2611465,,,
8,0x25,655.675,,,
11,0x90,655.6751592,,,
9,0x39,656.9811321,,,
11,0xc0,658.6433121,,,
7,0x1c,659.0124224,,,
11,0xf0,659.3757962,,,
10,0x85,660.4177215,,,
4,0xd0,660.4268293,,,
11,0x70,661.3821656,,,
10,0x30,662.1518987,,,
9,0xac,662.7421384,,,
11,0x40,662.7515924,,,
9,0xb0,663.2389937,,,
11,0x9c,666.7197452,,,
6,0x88,667.2222222,,,
9,0x7,668.0754717,,,
5,0xc,668.7423313,,,
6,0x2c,669.1481481,,,
6,0x5c,671.3888889,,,
13,0xe0,671.4064516,,,
11,0x5,672.089172,,,
14,0xec,672.461039,,,
4,0xc8,672.7256098,,,
12,0x6c,672.9423077,,,
14,0x3,673.6103896,,,
14,0x50,675.3831169,,,
16,0x60,675.7105263,,,
9,0x48,676.2264151,,,
18,0x20,676.74,,,
10,0x8c,678.1835443,,,
13,0xbc,678.1935484,,,
10,0xdc,678.7974684,,,
10,0xb8,679.2341772,,,
12,0xcc,679.775641,,,
13,0x58,680.1419355,,,
7,0x14,680.2173913,,,
6,0x54,680.3395062,,,
13,0x7c,681.1935484,,,
15,0x98,681.8431373,,,
5,0xf8,682.6503067,,,
13,0x18,683.1741935,,,
16,0x3c,683.1973684,,,
7,0x94,683.7018634,,,
11,0x28,684.133758,,,
13,0x38,685.4,,,
9,0xd4,685.5660377,,,
13,0xd8,685.7741935,,,
13,0x4c,686.2903226,,,
8,0x68,688.15625,,,
8,0x78,688.2125,,,
16,0xa0,689.6184211,,,
13,0xa8,689.6580645,,,
8,0xf4,691.5,,,
9,0xa4,693.2138365,,,
8,0x24,696.04375,,,
11,0x74,696.8853503,,,
16,0xe8,697.1052632,,,
7,0xfc,697.2919255,,,
10,0x44,698.8607595,,,
11,0x64,702.089172,,,
11,0xff,702.7324841,,,
16,0x34,703.3092105,,,
14,0xb4,703.3506494,,,
10,0xe4,705.3227848,,,
8,0x8,705.45,,,
10,0x84,707.7658228,,,
15,0x0,710.1830065,,,
16,0xc4,713.2171053,,,
10,0x4,717.721519,,,
